Time,Command Linear Velocity,Command Angular Velocity,Robot's Linear Velocity,Robot's Angular Velocity
0.1,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.6316303856689567,0.01871816268949557
0.2,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.7219667619727725,0.083265222868296
0.3,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.8285473502428444,0.028934955022260678
0.4,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.8576326707107369,0.02733939520933988
0.5,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.9632200082095171,0.026414874871459108
0.6,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.97892601792652,0.051056347113154106
0.7,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",1.0151735956006835,0.04690659572845308
0.8,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",1.0784956298061927,0.035140862988914785
0.9,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.9160995412063482,0.027316924886842696
1.0,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.9486398507683172,0.019841822080958627
1.1,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",1.0389722102021361,0.031012696947629727
1.2,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",1.021646864815904,0.044579452460637645
1.3,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",1.0820725276066032,0.039164913952611666
1.4,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",1.057309994987387,0.03342764394842036
1.5,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.969524279492928,0.02830863899809399
1.6,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",1.0148068664829701,0.02701225813047284
1.7,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",1.055834049943117,0.07445330878659107
1.8,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",1.0328448806550874,0.08079238030934761
1.9,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",1.1075931908664707,0.08098614335536596
2.0,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.9859802721297849,0.04743726841020529
2.1,"tensor(1., dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.9030679753212797,0.04061463024502014
2.2,"tensor(0.9498, dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.9198049490178043,0.0823075474892298
2.3,"tensor(-0.4306, dtype=torch.float64)","tensor(1.5000, dtype=torch.float64)",0.2994744232765574,0.02904034635910089
